Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      9.48     0.00   100007     0.00     0.00  std::allocator<int>::~allocator()
  0.00      9.48     0.00   100007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      9.48     0.00   100007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      9.48     0.00   100007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      9.48     0.00   100007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      9.48     0.00   100007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      9.48     0.00   100007     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      9.48     0.00   100006     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      9.48     0.00   100000     0.00     0.00  immigration(std::vector<double, std::allocator<double> > (&) [1][4], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00   100000     0.00     0.01  kill(std::vector<double, std::allocator<double> > (&) [1][4], double, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00   100000     0.00     0.00  dispersal(std::vector<double, std::allocator<double> > (&) [1][4], double (&) [1][1], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00   100000     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      9.48     0.00    84028     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      9.48     0.00    53892     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      9.48     0.00    41998     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      9.48     0.00    41998     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      9.48     0.00    41998     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      9.48     0.00    41998     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      9.48     0.00    41998     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      9.48     0.00    41998     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      9.48     0.00    41998     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      9.48     0.00    41998     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
