Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     10.23     0.00   472848     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00     10.23     0.00   472848     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a2<true, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00   472848     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::move<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00   239224     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00     10.23     0.00   239224     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00     10.23     0.00   239224     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00     10.23     0.00   239224     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00     10.23     0.00   238232     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00     10.23     0.00   238232     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00     10.23     0.00   238232     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00     10.23     0.00   168222     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     10.23     0.00   167846     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     10.23     0.00   117667     0.00     0.00  removeInd(std::vector<double, std::allocator<double> > (&) [1][4], int, int, std::vector<double, std::allocator<double> > (&) [1][3])
  0.00     10.23     0.00   117572     0.00     0.00  ConvertToDec(int (&) [10])
  0.00     10.23     0.00   117572     0.00     0.00  Bin_recursive(int, int, int (&) [10])
  0.00     10.23     0.00   117572     0.00     0.00  ConvertToBinary(int, int, int (&) [10])
  0.00     10.23     0.00   117572     0.00     0.00  mutation(std::vector<double, std::allocator<double> > (&) [1][4], double, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00    32747     0.00     0.00  getSpeciesCellMass(int, int, std::vector<double, std::allocator<double> > (&) [1][4])
  0.00     10.23     0.00    30808     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00     10.23     0.00    10264     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00     10.23     0.00    10264     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     10.23     0.00    10264     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00     10.23     0.00    10264     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00     10.23     0.00     1024     0.00     0.00  std::normal_distribution<double>::param_type::mean() const
  0.00     10.23     0.00     1024     0.00     0.00  std::normal_distribution<double>::param_type::stddev() const
  0.00     10.23     0.00     1024     0.00     0.00  std::lognormal_distribution<double>::param_type::m() const
  0.00     10.23     0.00     1024     0.00     0.00  std::lognormal_distribution<double>::param_type::s() const
  0.00     10.23     0.00     1024     0.00     0.00  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00     1024     0.00     0.00  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&)
  0.00     10.23     0.00     1024     0.00     0.00  double std::lognormal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00     1024     0.00     0.00  double std::lognormal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::lognormal_distribution<double>::param_type const&)
  0.00     10.23     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     10.23     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     10.23     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     10.23     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     10.23     0.00      456     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00     10.23     0.00      405     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     10.23     0.00      400     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00     10.23     0.00      400     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00     10.23     0.00      228     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     10.23     0.00      201     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00     10.23     0.00      201     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00     10.23     0.00      201     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00     10.23     0.00      200     0.00     0.00  store2ColFiles(std::basic_ofstream<char, std::char_traits<char> >&, int, int)
  0.00     10.23     0.00      200     0.00     0.00  storeVec(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<int, std::allocator<int> >*, int, int)
  0.00     10.23     0.00      190     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     10.23     0.00      159     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     10.23     0.00      152     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00     10.23     0.00      152     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::_S_use_relocate()
  0.00     10.23     0.00      152     0.00     0.00  std::vector<double, std::allocator<double> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00     10.23     0.00      152     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00     10.23     0.00      152     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00     10.23     0.00      115     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     10.23     0.00      100     0.00     0.00  storecellPopInd(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > (&) [1][4], int)
  0.00     10.23     0.00      100     0.00     0.00  calculateCellPop(std::vector<double, std::allocator<double> > (&) [1][4], std::vector<int, std::allocator<int> > (&) [2])
  0.00     10.23     0.00      100     0.00     0.00  storeCellPopSpec(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > (&) [1][3], int, double (&) [1024][2])
  0.00     10.23     0.00      100     0.00     0.00  calculateTotalPopSpec(std::vector<double, std::allocator<double> > (&) [1][4], std::vector<int, std::allocator<int> > (&) [2])
  0.00     10.23     0.00       95     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     10.23     0.00       83     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     10.23     0.00       76     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     10.23     0.00       76     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00     10.23     0.00       76     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00     10.23     0.00       76     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00     10.23     0.00       76     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00     10.23     0.00       76     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     10.23     0.00       76     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00     10.23     0.00       76     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00     10.23     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
